Start,End,Disaster Type,Category
2020-10-31,11/14/2020,Hurricane,Category 4 
2020-10-24,10/30/2020,Hurricane,Category 3
2020-10-04,10/12/2020,Hurricane,Category 4
2021-08-26,9/5/2021,Hurricane,Category 4
2005-08-18,8/19/2005,Tornado,N/A
2006-08-26,8/31/2005,Tornado,N/A
2005-09-24,9/26/2005,Tornado,N/A
2006-04-06,4/8/2005,Tornado,N/A
2006-08-24,8/24/2006,Tornado,N/A
2006-07-12,7/12/2006,Tornado,N/A
2007-03-28,3/31/2007,Tornado,N/A
2006-02-05,2/6/2005,Tornado,N/A
2008-06-03,6/11/2008,Tornado,N/A
2008-08-18,8/27/2008,Tornado,N/A
2009-05-08,5/8/2009,Tornado,N/A
2010-05-10,5/13/2010,Tornado,N/A
2010-06-16,6/18/2010,Tornado,N/A
2010-10-23,11/5/2010,Tornado,N/A
2011-04-19,4/24/2011,Tornado,N/A
2012-06-23,6/26/2012,Tornado,N/A
2013-05-18,5/21/2013,Tornado,N/A
2016-05-22,5/26/2016,Tornado,N/A
2017-02-07,2/7/2017,Tornado,N/A
2017-03-06,3/7/2017,Tornado,N/A
2018-03-20,3/22/2018,Tornado,N/A
2018-11-30,12/2/2018,Tornado,N/A
2019-04-17,4/19/2019,Tornado,N/A
2019-10-20,10/22/2019,Tornado,N/A
2020-01-10,1/11/2020,Tornado,N/A
2020-03-02,3/3/2020,Tornado,N/A
2020-04-22,4/23/2020,Tornado,N/A
2021-03-16,3/18/2021,Tornado,N/A
2021-05-02,5/4/2021,Tornado,N/A
2021-07-28,7/29/2021,Tornado,N/A
2022-04-10,4/16/2021,Tornado,N/A
