Year,Date,Start Date,End Date,Total Days,Maximum accumulation,Lowest pressure,Type,Category
2014,November 13–21,11/13/2014,11/21/2014,8,88 inches (220 cm),961 hPa (28.4 inHg),Storm,N/A
2015,January 23–30,1/23/2015,1/30/2015,7,36 inches (91 cm),970 hPa (29 inHg),Blizzard,Category 3
2015,January 31 – February 2,1/31/2015,2/2/2015,2,24.1 inches (61 cm),978 hPa (28.9 inHg),Blizzard,Category 3
2015,February 12–17,2/12/2015,2/17/2015,5,27.4 inches (70 cm),958 hPa (28.3 inHg),Blizzard,Category 1
2015,March 1–6,3/1/2015,3/6/2015,5,54.6 inches (139 cm),993 hPa (29.3 inHg),Blizzard,N/A
2015,November 24–27,11/24/2015,11/27/2015,3,1.5 inches (3.8 cm),994 hPa (29.4 inHg),Ice storm,N/A
2015,December 26–30,12/26/2015,12/30/2015,4,41 inches (100 cm),989 hPa (29.2 inHg),Blizzard,N/A
2016,January 21–24,1/21/2016,1/24/2016,3,42 inches (110 cm),983 hPa (29.0 inHg),Blizzard,Category 5
2016,January 29 – February 7,1/29/2016,2/7/2016,9,41 inches (100 cm),N/A,Blizzard,Category 2
2016,February 7–10,2/7/2016,2/10/2016,3,11 inches (28 cm),976 hPa (28.8 inHg),Blizzard,N/A
2016,February 23–24,2/23/2016,2/24/2016,1,17 inches (43 cm),N/A,Storm,N/A
2016,March 21–25,3/21/2016,3/25/2016,4,32.5 inches (83 cm),989 hPa (29.2 inHg),Blizzard,N/A
2016,April 15–23,4/15/2016,4/23/2016,8,51.3 inches (130 cm),999 hPa (29.5 inHg),Blizzard,N/A
2017,January 4–8,1/4/2017,1/8/2017,4,56 inches (140 cm),987 hPa (29.1 inHg),Blizzard,Category 2
2017,"January 7–13, 19–24
February 8–22",1/7/2017,1/24/2017,17,N/A,N/A,Storm,N/A
2017,January 10–17,1/10/2017,1/17/2017,7,1 inch (2.5 cm),999 hPa (29.5 inHg),Ice storm,N/A
2017,February 6–10,2/6/2017,2/10/2017,4,24 inches (61 cm),969 hPa (28.6 inHg),Blizzard,Category 1
2017,February 12–15,2/12/2017,2/15/2017,3,40 inches (100 cm),968 hPa (28.6 inHg),Blizzard,N/A
2017,March 11–15,3/11/2017,3/15/2017,4,58 inches (150 cm),974 hPa (28.8 inHg),Blizzard,Category 4
2018,January 2–4,1/2/2018,1/4/2018,2,22 inches (56 cm),949 hPa (28.0 inHg),Blizzard,Category 1
2018,March 1–3,3/1/2018,3/3/2018,2,39.3 inches (100 cm),974 hPa (28.8 inHg),Blizzard,Category 1
2018,March 6–8,3/6/2018,3/8/2018,2,36 inches (91 cm),986 hPa (29.1 inHg),Blizzard,Category 1
2018,March 20–22,3/20/2018,3/22/2018,2,20.1 inches (51 cm),988 hPa (29.2 inHg),Storm,Category 2
2018,April 13–15,4/13/2018,4/15/2018,2,33 inches (84 cm),985 hPa (29.1 inHg),Storm,Category 4
2019,January 16–21,1/16/2019,1/21/2019,5,52 inches (130 cm),N/A,Storm,Category 1
2019,February 11–13,2/11/2019,2/13/2019,2,26.5 inches (67 cm),N/A,Blizzard,N/A
2019,March 8–16,3/8/2019,3/16/2019,8,52 inches (130 cm),968 hPa (28.6 inHg),Blizzard,Category 1
2019,April 10–14,4/10/2019,4/14/2019,4,30 inches (76 cm),982 hPa (29.0 inHg),Blizzard,Category 3
2019,November 26 – December 3,11/26/2019,12/3/2019,7,N/A,973 hPa (28.7 inHg),Blizzard,Category 2
2020,January 15–18,1/15/2020,1/18/2020,3,37 inches (94 cm),979 hPa (28.9 inHg),Blizzard,N/A
2020,February 2–5,2/2/2020,2/5/2020,3,23.5 inches (60 cm),943 hPa (27.8 inHg),Storm,N/A
2020,February 9–13,2/9/2020,2/13/2020,4,13 inches (33 cm),920 hPa (27 inHg),Blizzard,N/A
2020,October 29–30,10/29/2020,10/30/2020,1,6.5 inches (17 cm),970 hPa (29 inHg),Storm,N/A
2020,November 29–December 2,11/29/2020,12/2/2020,3,24 inches (61 cm),989 hPa (29.2 inHg),Storm,N/A
2020,December 4–6,12/4/2020,12/6/2020,2,18 inches (46 cm),976 hPa (28.8 inHg),Blizzard,N/A
2020,December 14–18,12/14/2020,12/18/2020,4,44 inches (110 cm),995 hPa (29.4 inHg),Storm,Category 2
2020,"December 30–January 2, 2021",12/30/2020,1/2/2021,3,24 inches (61 cm),"1,001 hPa (29.6 inHg)",Storm,Category 1
